"region","brains.average.rank","final.rank","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","AllometricScaling.PNC20mm","PET.AG","Externopyramidisation","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","regions_ColeAnt12","ColeAnticevicNetPartition","ColeAntNet_name","array_NetGroup","GeneExp_PC1","GeneExp_PC2","GeneExp_PC3","GeneExp_PC4","GeneExp_PC5"
"TF",87.65,87,0.695191273,1.218669421,0.723235966,37.44098852,0.883771724,-0.255692876,0.451150242,2.844163622,8.554819954,15.90270653,"L_TF",11,"Ventral-Multimodal","Association",1.01214906445374,-0.669815581642276,0.00779065266587228,-0.175777621674679,-1.08399799367343
"TE2p",98.3,103,-1.082771925,1.255231034,1.373939788,48.94512753,0.99927511,-0.123271655,0.237482325,2.774865854,3.8912371,19.65856784,"L_TE2p",5,"Dorsal-attention","Association",0.381189101725619,-0.252086378674662,-0.293214028542328,-0.316442354649775,-0.761503723039312
"PHT",103,112,0.804383916,1.244891291,1.167550349,69.72328382,1.080439948,-0.159291017,0.45097278,2.86651655,1.084558809,-6.369646176,"L_PHT",5,"Dorsal-attention","Transition",-0.0240379877568575,0.327986930631066,0.200661080913491,0.683309298150845,-0.874015761686377
"PH",83.8,76.5,-2.457273563,1.307442872,0.441142929,59.26929855,1.085531859,-0.117162572,0.368465952,2.663561247,-2.490676318,19.95215087,"L_PH",2,"Visual2","Transition",-0.100742169388143,0.159115380237523,-0.701823113276073,-0.154812535440606,-0.631808121013543
"TPOJ1",89.8,90,-0.665380633,1.371527394,1.173394353,68.27108647,1.065431896,-0.249854254,0.288575422,2.651012903,-1.66320225,2.789759956,"L_TPOJ1",6,"Language","Transition",-0.381376442268689,0.02235891840916,-0.354907339690365,0.620212536086614,-0.360085031404441
"TPOJ2",85.6,81,-1.964568106,1.361029927,0.972163981,67.50226559,1.093971217,-0.232858714,0.288928742,2.659339993,-0.740282664,-6.619302028,"L_TPOJ2",10,"Posterior-Multimodal","Transition",-0.452062001063915,-0.218166361158146,-0.641758471029965,0.0674973661997527,-0.0576972481383996
"TPOJ3",67.8,47,-2.25447068,1.369446062,0.301475645,60.72090799,1.049588451,-0.164516115,0.275519915,2.415416367,-1.865418477,0.12342689,"L_TPOJ3",10,"Posterior-Multimodal","Transition",-0.664466395936634,-0.75742549966901,1.04776788773549,-0.837223970281243,-0.596115435395201
"DVT",67.2,43,-2.965102392,1.371357153,-0.663336745,56.56674693,1.112586213,0.01853476,0.209667349,2.259522091,-3.119359294,1.154318187,"L_DVT",1,"Visual1","Transition",-0.970401042503148,0.517744079249754,-1.47797137457394,1.00066942648985,-0.353532380537775
"PGp",83.7,75,-1.800627972,1.287836144,0.018799178,65.7724331,1.022186815,0.014148422,0.237325028,2.594901552,-2.547903241,1.154318187,"L_PGp",5,"Dorsal-attention","Transition",-0.70106029333256,0.119649436306961,0.0960286598045069,-1.04008202288191,0.223781034955502
"IP2",102.9,111,3.234819382,1.335194293,1.698021348,62.68208676,1.087021871,0.293256109,0.153393316,2.39288393,-3.490640461,-14.40265275,"L_IP2",7,"Frontoparietal","Sensory",-0.625061626050291,-0.617602013187376,-0.0823250991640453,-0.856617026607927,0.447136936308697
"IP1",85.4,80,4.382447613,1.33665472,0.08748776,67.18216489,1.07183952,0.340444504,0.239065848,2.397877029,-6.769001467,-12.92958539,"L_IP1",7,"Frontoparietal","Sensory",-1.17237647442601,-0.856853426904505,-1.01153346023532,0.198055926879036,0.500561661708475
"IP0",72.55,58,-1.770149876,1.350786588,-0.307874256,63.62537224,1.048083917,0.174955939,0.2828917,2.394448028,-5.648085802,3.705587214,"L_IP0",5,"Dorsal-attention","Sensory",-1.35597554689244,0.605949501918266,1.08163541583999,-1.29658430037378,0.107863845005175
